SampleId,SampleName,OnyxDesignDnaId,DesignSetId,NumberOfDesigns,DesignId,UniqueId,MappedDesign,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ImproperOrClippedEditReads,ImproperOrClippedReferenceReads,EditedHASpanningFragments,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918034,SPB00001|1918034,True,0,3687.9944009744568,3511,0.0,0,3687.9944009744568,3511,0,3995,1.0,0.0,1.0,0.0,9766.546939818681,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918034,edit,0.0,4537.0,0.0,1.0,EGEWNotSpanned,0,0,0,15.0,15.0,0,104,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918035,SPB00001|1918035,True,0,2237.0,2237,0.0,0,2237.0,2237,0,2522,1.0,0.0,1.0,0.0,7222.632167849122,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918035,edit,0.0,4128.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,160,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918036,SPB00001|1918036,True,0,3943.772075409268,4123,0.0,0,3943.772075409268,4123,0,4623,1.0,0.0,1.0,0.0,11325.611969549616,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918036,edit,0.0,4618.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,114,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918037,SPB00001|1918037,True,1,4217.0,4217,0.0,0,4218.0,4218,1,4779,1.0,0.0002370791844476055,0.9997629208155524,0.0,11489.719279627081,0.0002370791844476055,0.06786456648609118,0.06786456648609118,no_edit,6.786457E-02,,SPB00001|1918037,edit,1.0,4731.0,0.00021132713440405747,0.07581318157045022,no_edit,0,0,0,10.0,10.0,0,170,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918038,SPB00001|1918038,True,0,3376.0,3376,0.0,0,3376.0,3376,0,3760,1.0,0.0,1.0,0.0,10094.778011468212,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918038,edit,0.0,4260.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,0.0,0,148,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918039,SPB00001|1918039,True,0,2983.9905983419653,4136,0.0,0,2983.9905983419653,4136,0,4659,1.0,0.0,1.0,0.0,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918039,edit,0.0,4458.0,0.0,1.0,EGEWNotSpanned,0,0,0,2.0,2.0,0,139,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918040,SPB00001|1918040,True,0,4043.5261924577385,3697,0.0,0,4043.5261924577385,3697,0,4147,1.0,0.0,1.0,0.0,10505.061709755519,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918040,edit,0.0,4390.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,93,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918041,SPB00001|1918041,True,0,3491.0,3491,0.0,0,3491.0,3491,0,3947,1.0,0.0,1.0,0.0,9520.371236870466,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918041,edit,0.0,4429.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,0,84,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918042,SPB00001|1918042,True,0,2877.249674264313,3669,0.0,0,2877.249674264313,3669,0,4095,1.0,0.0,1.0,0.0,11407.665738845048,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918042,edit,0.0,4040.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,246,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918043,SPB00001|1918043,True,0,4117.324979741988,3933,0.0,0,4117.324979741988,3933,0,4425,1.0,0.0,1.0,0.0,10505.061709755519,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918043,edit,0.0,4631.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,177,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918044,SPB00001|1918044,True,0,3734.0,3734,0.0,0,3734.0,3734,0,4198,1.0,0.0,1.0,0.0,10340.94891595537,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918044,edit,0.0,4409.0,0.0,1.0,EGEWNotSpanned,0,0,0,5.0,5.0,0,156,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918045,SPB00001|1918045,True,0,2539.648080866398,4134,0.0,0,2539.648080866398,4134,0,4610,1.0,0.0,1.0,0.0,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918045,edit,0.0,4454.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,167,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918046,SPB00001|1918046,True,1,3895.8040043355363,3395,0.0,0,3896.8040043355363,3396,1,3915,1.0,0.0002566205533784641,0.9997433794466215,0.0,10012.720586282941,0.0002944640753828033,0.055010640157531675,0.06286284673840992,no_edit,6.286285E-02,,SPB00001|1918046,edit,1.0,4405.0,0.00022696323195642307,0.07077974058922146,no_edit,0,0,0,3.0,3.0,0,110,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918047,SPB00001|1918047,True,0,3274.0,3274,0.0,0,3274.0,3274,0,3660,1.0,0.0,1.0,0.0,8945.953265524142,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918047,edit,0.0,4512.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,87,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1918048,SPB00001|1918048,True,0,2251.3759814526125,2747,0.0,0,2251.3759814526125,2747,0,2993,1.0,0.0,1.0,0.0,10915.339695744226,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1918048,edit,0.0,3034.0,0.0,1.0,EGEWNotSpanned,0,0,0,4.0,4.0,0,715,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
