SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,Var1,Var2,Var3,Var4,Var5
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,272633,508,0.00014894622015248222,1.4897600939651272,0.17311633669692778,edit,0.0001498620561074098,1.498620561074098,0.1756916868232498,0,508,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,272846,255,7.476631129701372e-05,0.7478126455927312,-0.1262071951530363,edit,7.522603210116042e-05,0.7522603210116042,-0.12363184502671433,0,255,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,272937,256,7.505951251778632e-05,0.7507452442028988,-0.1245074102751419,edit,7.552103614861596e-05,0.7552103614861596,-0.1219320601488199,0,256,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,273061,284,8.326914669941919e-05,0.8328580052875908,-0.07942903553995381,edit,8.378114947737083e-05,0.8378114947737083,-0.07685368541363179,0,284,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,273138,291,8.532155524482742e-05,0.8533861955587638,-0.06885438660108419,edit,8.584617780955955e-05,0.8584617780955954,-0.0662790364747622,0,291,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,273280,261,7.652551862164933e-05,0.7654082372537366,-0.1161068682487105,edit,7.699605638589361e-05,0.7699605638589362,-0.11353151812238847,0,261,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,273408,917,0.00026886551944847677,2.6891929255236646,0.4296219600830296,edit,0.00027051871151672203,2.70518711516722,0.4321973102093516,0,917,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,273423,323,9.47039943095507e-05,0.9472293510841261,-0.023544853255888624,edit,9.528630732813654e-05,0.9528630732813654,-0.02096950312956657,0,323,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,273894,188,5.512182950524933e-05,0.5513285387115038,-0.2585895263233116,edit,5.5460760921639846e-05,0.5546076092163985,-0.2560141761969896,0,188,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274020,290,8.502835402405481e-05,0.8504535969485962,-0.0703493776880354,edit,8.555117376210401e-05,0.8555117376210402,-0.06777402756171338,0,290,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274068,286,8.38555491409644e-05,0.838723202507926,-0.07638134245794846,edit,8.437115757228189e-05,0.843711575722819,-0.07380599233162644,0,286,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274145,238,6.978189054387947e-05,0.6979584692198825,-0.1561704185304795,edit,7.02109632944164e-05,0.702109632944164,-0.15359506840415754,0,238,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274274,404,0.00011845329319213153,1.1847698385076995,0.07363398952361344,edit,0.00011918163517203457,1.1918163517203457,0.07620933964993554,0,404,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274303,37,1.0848445168586303e-05,0.10850614857620021,-0.9645456515199965,edit,1.091514975585465e-05,0.1091514975585465,-0.9619703013936745,0,37,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274487,108,3.16657318434411e-05,0.3167206498980979,-0.49932362010004183,edit,3.186043712519736e-05,0.31860437125197355,-0.4967482699737198,0,108,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274574,454,0.00013311335423076166,1.3313997690160781,0.12430847727011239,edit,0.00013393183754481112,1.3393183754481113,0.1268838273964345,0,454,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274689,691,0.00020260204355386854,2.0264256396257934,0.306730671787207,edit,0.000203847796791772,2.03847796791772,0.30930602191352896,0,691,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274765,189,5.541503072602193e-05,0.5542611373216714,-0.2562855714137473,edit,5.5755764969095376e-05,0.5575576496909538,-0.2537102212874253,0,189,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274791,111,3.254533550575891e-05,0.3255184457286006,-0.4874243968003341,edit,3.274544926756395e-05,0.32745449267563953,-0.48484904667401196,0,111,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,274997,323,9.47039943095507e-05,0.9472293510841261,-0.023544853255888624,edit,9.528630732813654e-05,0.9528630732813654,-0.02096950312956657,0,323,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275063,451,0.00013223375056844387,1.3226019731855756,0.12142916629096907,edit,0.00013304682540244453,1.3304682540244452,0.12400451641729106,0,451,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275097,281,8.238954303710138e-05,0.824060209457088,-0.08404105568191161,edit,8.289613733500424e-05,0.8289613733500424,-0.08146570555558956,0,281,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275355,82,2.404250010335343e-05,0.240473086033741,-0.6189335232032748,edit,2.419033189135355e-05,0.2419033189135355,-0.6163581730769527,0,82,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275367,92,2.6974512311079457e-05,0.2697990721354167,-0.5689595482414362,edit,2.714037236590886e-05,0.2714037236590886,-0.5663841981151142,0,92,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275458,1123,0.00032926497092763295,3.293308239218185,0.5176323806744663,edit,0.0003312895452925614,3.312895452925614,0.5202077308007883,0,1123,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275621,23,6.743628077769864e-06,0.06744976803385418,-1.1710195395693987,edit,6.785093091477215e-06,0.06785093091477215,-1.1684441894430766,0,23,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275639,493,0.0001445482018408932,1.4457711148126136,0.16009954369023852,edit,0.00014543699539557682,1.4543699539557682,0.1626748938165605,0,493,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275691,217,6.362466490765481e-05,0.6363738984063635,-0.19628764173846192,edit,6.401587829785025e-05,0.6401587829785025,-0.19371229161213996,0,217,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275740,72,2.1110487895627402e-05,0.21114709993206526,-0.6754148791557231,edit,2.1240291416798238e-05,0.21240291416798238,-0.672839529029401,0,72,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275770,141,4.1341372128936995e-05,0.4134964040336278,-0.3835282629316116,edit,4.1595570691229886e-05,0.4159557069122989,-0.38095291280528953,0,141,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275939,223,6.538387223229043e-05,0.6539694900673689,-0.18444251253883073,edit,6.578590258258343e-05,0.6578590258258343,-0.1818671624125088,0,223,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,275947,127,3.7236555038120554e-05,0.3724400234912818,-0.4289436546310346,edit,3.746551402685245e-05,0.3746551402685245,-0.42636830450471264,0,127,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276048,1008,0.0002955468305387836,2.9560593990489137,0.470713156522515,edit,0.00029736407983517536,2.9736407983517537,0.47328850664883704,0,1008,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276146,224,6.567707345306302e-05,0.6569020886775364,-0.18249935725282868,edit,6.608090663003897e-05,0.6608090663003896,-0.1799240071265067,0,224,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276254,416,0.00012197170784140276,1.2199610218297103,0.0863459550397512,edit,0.00012272168374150092,1.2272168374150092,0.08892130516607323,0,416,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276289,311,9.118557966027947e-05,0.9120381677621152,-0.03998698656015401,edit,9.174625875867017e-05,0.9174625875867017,-0.03741163643383194,0,311,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276487,166,4.867140264825206e-05,0.48681136928781715,-0.3126392875469364,edit,4.897067187761816e-05,0.48970671877618155,-0.31006393742061444,0,166,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276700,272,7.975073205014796e-05,0.7976668219655799,-0.09817847155279277,edit,8.024110090790446e-05,0.8024110090790446,-0.09560312142647073,0,272,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276779,70,2.0524085454082197e-05,0.20528190271173014,-0.6876493355727347,edit,2.0650283321887175e-05,0.20650283321887175,-0.6850739854464126,0,70,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276847,1322,0.0003876120138613809,3.876895362641532,0.58848407956263,edit,0.0003899953507362121,3.899953507362121,0.591059429688952,0,1322,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276955,28,8.209634181632878e-06,0.08211276108469205,-1.0855893442447724,edit,8.26011332875487e-06,0.0826011332875487,-1.0830139941184502,0,28,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276980,257,7.535271373855892e-05,0.7536778428130663,-0.12281425225569698,edit,7.58160401960715e-05,0.758160401960715,-0.12023890212937488,0,257,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276998,463,0.0001357521652177151,1.3577931565075865,0.13283361543096167,edit,0.00013658687397191088,1.365868739719109,0.13540896555728368,0,463,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277051,199,5.8347042933747956e-05,0.5835871234233471,-0.23389429917728485,edit,5.870580544365069e-05,0.5870580544365068,-0.23131894905096284,0,199,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277138,151,4.427338433666302e-05,0.44282239013530356,-0.35377042829382205,edit,4.45456111657852e-05,0.445456111657852,-0.3511950781675,0,151,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277265,265,7.769832350473975e-05,0.777138631694407,-0.10950150165018357,edit,7.817607257571573e-05,0.7817607257571574,-0.10692615152386162,0,265,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277298,459,0.0001345793603346247,1.3460627620669163,0.12906530995026982,edit,0.00013540685778208876,1.3540685778208876,0.13164066007659175,0,459,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277348,316,9.265158576414249e-05,0.9267011608129532,-0.033060292968587646,edit,9.322127899594783e-05,0.9322127899594782,-0.030484942842265668,0,316,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277509,218,6.391786612842741e-05,0.639306497016531,-0.19429088198238664,edit,6.431088234530577e-05,0.6431088234530578,-0.19171553185606466,0,218,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
