SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3,Var4
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,272633,57,6.972920601677415e-05,0.697431518579775,-0.15649842972177913,edit,7.018969689133526e-05,0.7018969689133526,-0.153726633050171,0,57,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,272846,152,0.00018594454937806442,1.8598173828794005,0.2694703025505021,edit,0.0001871725250435607,1.871725250435607,0.2722420992221101,0,152,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,272937,38,4.6486137344516106e-05,0.4649543457198501,-0.33258968877746026,edit,4.6793131260890175e-05,0.46793131260890175,-0.3298178921058523,0,38,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,273061,79,9.664223290044138e-05,0.9666156134702146,-0.014746194103829048,edit,9.728045709500852e-05,0.9728045709500852,-0.011974397432221,0,79,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,273138,43,5.260273436353138e-05,0.5261325491040408,-0.27890482981468395,edit,5.295012221627046e-05,0.5295012221627047,-0.27613303314307586,0,43,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,273280,31,3.792290151789472e-05,0.37930486098198296,-0.4210115915599978,edit,3.817334392335778e-05,0.3817334392335778,-0.4182397948883897,0,31,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,273408,207,0.00025322711658723246,2.5327776201054992,0.4035970600626473,edit,0.00025489942555274387,2.5489942555274387,0.4063688567342554,0,207,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,273423,54,6.605924780536499e-05,0.6607245965492606,-0.17997952557130195,edit,6.649550231810709e-05,0.6649550231810709,-0.1772077288996939,0,54,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,273894,19,2.3243068672258053e-05,0.23247717285992506,-0.6336196844414415,edit,2.3396565630445088e-05,0.23396565630445088,-0.6308478877698335,0,19,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274020,89,0.00010887542693847192,1.0889720202385962,0.03701672125064229,edit,0.0001095944390057691,1.095944390057691,0.0397885179222504,0,89,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274068,75,9.174895528522915e-05,0.917673050762862,-0.03731202200257043,edit,9.23548643307043e-05,0.923548643307043,-0.03454022533096234,0,75,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274145,14,1.7126471653242776e-05,0.17129896947573425,-0.7662452497160324,edit,1.7239574675064804e-05,0.17239574675064803,-0.7634734530444244,0,14,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274274,88,0.00010765210753466888,1.0767363795617582,0.03210938675589819,edit,0.00010836304081469305,1.0836304081469306,0.03488118342750628,0,88,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274303,13,1.590315224943972e-05,0.15906332879889606,-0.7984299330874338,edit,1.6008176483988746e-05,0.16008176483988745,-0.7956581364158256,0,13,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274487,1,1.2233194038030554e-06,0.012235640676838161,-1.9123732853942705,edit,1.2313981910760573e-06,0.012313981910760573,-1.9096014887226624,0,1,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274574,70,8.563235826621388e-05,0.8564948473786712,-0.06727524538001363,edit,8.619787337532401e-05,0.8619787337532401,-0.06450344870840559,0,70,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274689,82,0.00010031219111185055,1.0033225355007291,0.0014405669894462282,edit,0.00010097465166823669,1.009746516682367,0.004212363661054258,0,82,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274765,43,5.260273436353138e-05,0.5261325491040408,-0.27890482981468395,edit,5.295012221627046e-05,0.5295012221627047,-0.27613303314307586,0,43,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274791,10,1.2233194038030553e-05,0.1223564067683816,-0.9123732853942705,edit,1.2313981910760573e-05,0.12313981910760573,-0.9096014887226624,0,10,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274997,66,8.073908065100165e-05,0.8075522846713186,-0.0928293498524018,edit,8.127228061101978e-05,0.8127228061101978,-0.09005755318079377,0,66,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275063,192,0.00023487732553018664,2.349243009952927,0.37092794330927914,edit,0.000236428452686603,2.36428452686603,0.3736997399808872,0,192,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
