SampleId,SampleName,OnyxDesignDnaId,DesignSetId,NumberOfDesigns,DesignId,UniqueId,MappedDesign,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ImproperOrClippedEditReads,ImproperOrClippedReferenceReads,EditedHASpanningFragments,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272332,SPB00001|272332,True,0,6027.888384650369,7275,2.0,2,6029.888384650369,7277,0,8615,1.0,0.0,0.9996683189020396,0.00033168109796048343,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272332,edit,0.0,7816.0,0.0,1.0,EGEWNotSpanned,0,0,2,64.0,64.0,0,245,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272333,SPB00001|272333,True,0,5418.014040511614,6020,0.0,0,5418.014040511614,6020,0,7018,1.0,0.0,1.0,0.0,22367.181879710646,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272333,edit,0.0,7329.0,0.0,1.0,EGEWNotSpanned,0,0,0,210.0,208.0,0,196,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272334,SPB00001|272334,True,0,4894.467799536894,6320,0.0,0,4894.467799536894,6320,0,7378,1.0,0.0,1.0,0.0,24790.223653907422,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272334,edit,0.0,7323.0,0.0,1.0,EGEWNotSpanned,0,0,0,95.0,86.0,0,196,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272335,SPB00001|272335,True,0,5751.786333971931,6291,0.0,0,5751.786333971931,6291,0,7300,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272335,edit,0.0,6723.0,0.0,1.0,EGEWNotSpanned,0,0,0,85.0,85.0,0,251,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272336,SPB00001|272336,True,0,4173.374713239178,5027,0.0,0,4173.374713239178,5027,0,5978,1.0,0.0,1.0,0.0,19757.737061795433,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272336,edit,0.0,7031.0,0.0,1.0,EGEWNotSpanned,0,0,0,70.0,42.0,0,135,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272337,SPB00001|272337,True,0,4216.506313510482,6864,0.0,0,4216.506313510482,6864,0,8058,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272337,edit,0.0,7236.0,0.0,1.0,EGEWNotSpanned,0,0,0,57.0,55.0,0,553,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272338,SPB00001|272338,True,0,5890.969464579166,6485,1.0,1,5891.969464579166,6486,0,7518,1.0,0.0,0.9998302774639258,0.00016972253607417924,24417.44888187043,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272338,edit,0.0,7630.0,0.0,1.0,EGEWNotSpanned,0,0,1,2.0,2.0,0,227,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272339,SPB00001|272339,True,0,5501.349956033646,6313,0.0,0,5501.349956033646,6313,0,7205,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272339,edit,0.0,6832.0,0.0,1.0,EGEWNotSpanned,0,0,0,34.0,34.0,1,179,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272340,SPB00001|272340,True,1,4782.8490543693,4997,307.24325524365526,321,5091.0923096129545,5319,1,6121,1.0,0.00019642150233886135,0.9394543967192203,0.06034918177844101,26094.932820218874,0.00018800526414739614,0.051790329693618666,0.04962724475318488,no_edit,4.962724E-02,,SPB00001|272340,edit,1.0,5805.0,0.0001722356183258698,0.05639598880370481,no_edit,0,321,0,699.0,657.0,0,819,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272342,SPB00001|272342,True,0,5720.850269754914,5977,0.0,0,5720.850269754914,5977,0,6929,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272342,edit,0.0,6585.0,0.0,1.0,EGEWNotSpanned,0,0,0,165.0,162.0,0,257,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272343,SPB00001|272343,True,2,7823.411976339351,9442,2.0,2,7827.411976339351,9446,3,11776,1.0,0.0002555122952574346,0.9994889754094851,0.0002555122952574346,26094.932820218874,0.00021172983273343214,0.004188093744657665,0.0029066909627365315,edit,9.970933E-01,,SPB00001|272343,edit,2.0,10180.0,0.00019642506383814575,0.004842582529743686,edit,0,0,2,55.0,52.0,0,536,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272344,SPB00001|272344,True,0,4204.283648231118,5654,0.0,0,4204.283648231118,5654,0,6506,1.0,0.0,1.0,0.0,21808.016461341984,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272344,edit,0.0,7243.0,0.0,1.0,EGEWNotSpanned,0,0,0,12.0,12.0,0,219,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272345,SPB00001|272345,True,0,6352.0,6352,0.0,0,6352.0,6352,0,8082,1.0,0.0,1.0,0.0,16216.32242815266,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272345,edit,0.0,10840.0,0.0,1.0,EGEWNotSpanned,0,0,0,240.0,197.0,0,190,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272346,SPB00001|272346,True,0,7855.0,7855,0.0,0,7855.0,7855,0,9529,1.0,0.0,1.0,0.0,22739.958422811982,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272346,edit,0.0,10057.0,0.0,1.0,EGEWNotSpanned,0,0,0,29.0,29.0,0,465,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272347,SPB00001|272347,True,0,5094.0,5094,1.0,1,5095.0,5095,0,5946,1.0,0.0,0.9998037291462217,0.00019627085377821394,19384.957942590147,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272347,edit,0.0,7696.0,0.0,1.0,EGEWNotSpanned,0,0,1,40.0,39.0,0,208,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,272348,SPB00001|272348,True,0,4726.0,4726,0.0,0,4726.0,4726,0,5420,1.0,0.0,1.0,0.0,21808.016461341984,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272348,edit,0.0,6318.0,0.0,1.0,EGEWNotSpanned,0,0,0,112.0,101.0,2,140,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
