SampleId,SampleName,OnyxDesignDnaId,NumberOfDesigns,DesignId,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272332,0,1174.0917994561632,1417,0.0,0,1174.0917994561632,1417,0,1468,1.0,0.0,1.0,0.0,3650.325806289372,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272332,edit,0.0,1512.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272333,0,1011.6026215172761,1124,0.0,0,1011.6026215172761,1124,0,1154,1.0,0.0,1.0,0.0,3128.864204860929,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272333,edit,0.0,1421.0,0.0,1.0,EGEWNotSpanned,0,0,0,9.0,6.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272334,0,922.3593590595063,1191,0.0,0,922.3593590595063,1191,0,1221,1.0,0.0,1.0,0.0,3467.814758169431,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272334,edit,0.0,1360.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272335,0,1102.6314288280626,1206,2.0,2,1104.6314288280626,1208,0,1244,1.0,0.0,0.9981894413396133,0.0018105586603867152,3650.325806289372,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272335,edit,0.0,1314.0,0.0,1.0,EGEWNotSpanned,0,0,2,5.0,5.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272336,0,795.3238462880914,958,0.0,0,795.3238462880914,958,0,993,1.0,0.0,1.0,0.0,2763.838403697264,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272336,edit,0.0,1346.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272337,0,823.1524563078067,1340,0.0,0,823.1524563078067,1340,0,1393,1.0,0.0,1.0,0.0,3650.325806289372,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272337,edit,0.0,1429.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272338,0,1093.7127579583455,1204,0.0,0,1093.7127579583455,1204,0,1252,1.0,0.0,1.0,0.0,3415.6686430745212,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272338,edit,0.0,1415.0,0.0,1.0,EGEWNotSpanned,0,0,0,3.0,0.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272339,0,1042.2326227477859,1196,0.0,0,1042.2326227477859,1196,0,1230,1.0,0.0,1.0,0.0,3650.325806289372,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272339,edit,0.0,1281.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272340,0,1125.6014584626832,1176,0.0,0,1125.6014584626832,1176,0,1223,1.0,0.0,1.0,0.0,3650.325806289372,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272340,edit,0.0,1279.0,0.0,1.0,EGEWNotSpanned,0,0,0,19.0,19.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272342,0,1145.7014845066599,1197,2.0,2,1147.7014845066599,1199,0,1237,1.0,0.0,0.9982573865878899,0.0017426134121101195,3650.325806289372,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272342,edit,0.0,1310.0,0.0,1.0,EGEWNotSpanned,0,0,2,3.0,3.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272343,0,1387.8643359838204,1675,0.0,0,1387.8643359838204,1675,0,1736,1.0,0.0,1.0,0.0,3650.325806289372,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272343,edit,0.0,1820.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272344,0,808.2872878721429,1087,0.0,0,808.2872878721429,1087,0,1135,1.0,0.0,1.0,0.0,3050.6445761394248,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272344,edit,0.0,1383.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272345,0,1036.0,1036,0.0,0,1036.0,1036,0,1087,1.0,0.0,1.0,0.0,2268.4427145442487,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272345,edit,0.0,1773.0,0.0,1.0,EGEWNotSpanned,0,0,0,13.0,13.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272346,0,1466.0,1466,0.0,0,1466.0,1466,0,1529,1.0,0.0,1.0,0.0,3181.0105677030924,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272346,edit,0.0,1899.0,0.0,1.0,EGEWNotSpanned,0,0,0,2.0,2.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
GE00001106-GED_G01,GE00001106-GED_G01,SPB00001,10002,272347,0,1031.0,1031,0.0,0,1031.0,1031,0,1069,1.0,0.0,1.0,0.0,2711.6916804932735,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|272347,edit,0.0,1558.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,GE00001106-GED,v0.5.0,Ecoli,Edit,PPV538,ODD179,#NA,#NA
